config,k,purity,entropy,similarity
Baseline,15,0.2359,3.3401,0.1125
Baseline,20,0.2474,3.2799,0.1171
Baseline,25,0.2561,3.2396,0.1211
PoS_Only,15,0.2275,3.3709,0.1152
PoS_Only,20,0.239,3.3197,0.1201
PoS_Only,25,0.243,3.2958,0.1235
Syns,15,0.1104,4.1027,0.1523
Syns,20,0.1162,4.0818,0.158
Syns,25,0.124,4.05,0.1617
Hyper_5,15,0.116,4.0999,0.2173
Hyper_5,20,0.1203,4.0791,0.2237
Hyper_5,25,0.1299,4.0077,0.2286
Hyper_All,15,0.1092,4.1155,0.2283
Hyper_All,20,0.1136,4.086,0.2352
Hyper_All,25,0.1232,4.018,0.2391
